idx,item,sentence,prefix,stimulus,type
0,0,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""No, he does not.""","Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""No,","he does not.""",neg_main_good
0,0,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Wait no, he does not.""","Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Wait no,","he does not.""",neg_main_bad
0,0,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Wait no, he did not.""","Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Wait no,","he did not.""",neg_arc_good
0,0,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""No, he did not.""","Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""No,","he did not.""",neg_arc_bad
1,0,"Erika said, ""The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant."" Cameron replied, ""No, he did not.""","Erika said, ""The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant."" Cameron replied, ""No,","he did not.""",neg_main_good
1,0,"Erika said, ""The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant."" Cameron replied, ""Wait no, he did not.""","Erika said, ""The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant."" Cameron replied, ""Wait no,","he did not.""",neg_main_bad
1,0,"Erika said, ""The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant."" Cameron replied, ""Wait no, he does not.""","Erika said, ""The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant."" Cameron replied, ""Wait no,","he does not.""",neg_arc_good
1,0,"Erika said, ""The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant."" Cameron replied, ""No, he does not.""","Erika said, ""The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant."" Cameron replied, ""No,","he does not.""",neg_arc_bad
2,1,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""No, she does not.""","Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""No,","she does not.""",neg_main_good
2,1,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Wait no, she does not.""","Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Wait no,","she does not.""",neg_main_bad
2,1,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Wait no, she did not.""","Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Wait no,","she did not.""",neg_arc_good
2,1,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""No, she did not.""","Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""No,","she did not.""",neg_arc_bad
3,1,"Adrian said, ""The reporter, who volunteers regularly at a local church, opened a new bank account today."" Autumn replied, ""No, she did not.""","Adrian said, ""The reporter, who volunteers regularly at a local church, opened a new bank account today."" Autumn replied, ""No,","she did not.""",neg_main_good
3,1,"Adrian said, ""The reporter, who volunteers regularly at a local church, opened a new bank account today."" Autumn replied, ""Wait no, she did not.""","Adrian said, ""The reporter, who volunteers regularly at a local church, opened a new bank account today."" Autumn replied, ""Wait no,","she did not.""",neg_main_bad
3,1,"Adrian said, ""The reporter, who volunteers regularly at a local church, opened a new bank account today."" Autumn replied, ""Wait no, she does not.""","Adrian said, ""The reporter, who volunteers regularly at a local church, opened a new bank account today."" Autumn replied, ""Wait no,","she does not.""",neg_arc_good
3,1,"Adrian said, ""The reporter, who volunteers regularly at a local church, opened a new bank account today."" Autumn replied, ""No, she does not.""","Adrian said, ""The reporter, who volunteers regularly at a local church, opened a new bank account today."" Autumn replied, ""No,","she does not.""",neg_arc_bad
4,2,"Martin said, ""The painter, who used to play badminton, volunteers regularly at a local church."" Haley replied, ""No, he does not.""","Martin said, ""The painter, who used to play badminton, volunteers regularly at a local church."" Haley replied, ""No,","he does not.""",neg_main_good
4,2,"Martin said, ""The painter, who used to play badminton, volunteers regularly at a local church."" Haley replied, ""Wait no, he does not.""","Martin said, ""The painter, who used to play badminton, volunteers regularly at a local church."" Haley replied, ""Wait no,","he does not.""",neg_main_bad
4,2,"Martin said, ""The painter, who used to play badminton, volunteers regularly at a local church."" Haley replied, ""Wait no, he did not.""","Martin said, ""The painter, who used to play badminton, volunteers regularly at a local church."" Haley replied, ""Wait no,","he did not.""",neg_arc_good
4,2,"Martin said, ""The painter, who used to play badminton, volunteers regularly at a local church."" Haley replied, ""No, he did not.""","Martin said, ""The painter, who used to play badminton, volunteers regularly at a local church."" Haley replied, ""No,","he did not.""",neg_arc_bad
5,2,"Martin said, ""The painter, who volunteers regularly at a local church, used to play badminton."" Haley replied, ""No, he did not.""","Martin said, ""The painter, who volunteers regularly at a local church, used to play badminton."" Haley replied, ""No,","he did not.""",neg_main_good
5,2,"Martin said, ""The painter, who volunteers regularly at a local church, used to play badminton."" Haley replied, ""Wait no, he did not.""","Martin said, ""The painter, who volunteers regularly at a local church, used to play badminton."" Haley replied, ""Wait no,","he did not.""",neg_main_bad
5,2,"Martin said, ""The painter, who volunteers regularly at a local church, used to play badminton."" Haley replied, ""Wait no, he does not.""","Martin said, ""The painter, who volunteers regularly at a local church, used to play badminton."" Haley replied, ""Wait no,","he does not.""",neg_arc_good
5,2,"Martin said, ""The painter, who volunteers regularly at a local church, used to play badminton."" Haley replied, ""No, he does not.""","Martin said, ""The painter, who volunteers regularly at a local church, used to play badminton."" Haley replied, ""No,","he does not.""",neg_arc_bad
6,3,"Avery said, ""The journalist, who recently adopted a rescue dog, has two Bengal cats."" Taylor replied, ""No, she does not.""","Avery said, ""The journalist, who recently adopted a rescue dog, has two Bengal cats."" Taylor replied, ""No,","she does not.""",neg_main_good
6,3,"Avery said, ""The journalist, who recently adopted a rescue dog, has two Bengal cats."" Taylor replied, ""Wait no, she does not.""","Avery said, ""The journalist, who recently adopted a rescue dog, has two Bengal cats."" Taylor replied, ""Wait no,","she does not.""",neg_main_bad
6,3,"Avery said, ""The journalist, who recently adopted a rescue dog, has two Bengal cats."" Taylor replied, ""Wait no, she did not.""","Avery said, ""The journalist, who recently adopted a rescue dog, has two Bengal cats."" Taylor replied, ""Wait no,","she did not.""",neg_arc_good
6,3,"Avery said, ""The journalist, who recently adopted a rescue dog, has two Bengal cats."" Taylor replied, ""No, she did not.""","Avery said, ""The journalist, who recently adopted a rescue dog, has two Bengal cats."" Taylor replied, ""No,","she did not.""",neg_arc_bad
7,3,"Avery said, ""The journalist, who has two Bengal cats, recently adopted a rescue dog."" Taylor replied, ""No, she did not.""","Avery said, ""The journalist, who has two Bengal cats, recently adopted a rescue dog."" Taylor replied, ""No,","she did not.""",neg_main_good
7,3,"Avery said, ""The journalist, who has two Bengal cats, recently adopted a rescue dog."" Taylor replied, ""Wait no, she did not.""","Avery said, ""The journalist, who has two Bengal cats, recently adopted a rescue dog."" Taylor replied, ""Wait no,","she did not.""",neg_main_bad
7,3,"Avery said, ""The journalist, who has two Bengal cats, recently adopted a rescue dog."" Taylor replied, ""Wait no, she does not.""","Avery said, ""The journalist, who has two Bengal cats, recently adopted a rescue dog."" Taylor replied, ""Wait no,","she does not.""",neg_arc_good
7,3,"Avery said, ""The journalist, who has two Bengal cats, recently adopted a rescue dog."" Taylor replied, ""No, she does not.""","Avery said, ""The journalist, who has two Bengal cats, recently adopted a rescue dog."" Taylor replied, ""No,","she does not.""",neg_arc_bad
8,4,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""No, she does not.""","Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""No,","she does not.""",neg_main_good
8,4,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Wait no, she does not.""","Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Wait no,","she does not.""",neg_main_bad
8,4,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Wait no, she did not.""","Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Wait no,","she did not.""",neg_arc_good
8,4,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""No, she did not.""","Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""No,","she did not.""",neg_arc_bad
9,4,"Alexander said, ""The professor, who drinks two bottles of wine every day, missed a train this morning."" Anthony replied, ""No, she did not.""","Alexander said, ""The professor, who drinks two bottles of wine every day, missed a train this morning."" Anthony replied, ""No,","she did not.""",neg_main_good
9,4,"Alexander said, ""The professor, who drinks two bottles of wine every day, missed a train this morning."" Anthony replied, ""Wait no, she did not.""","Alexander said, ""The professor, who drinks two bottles of wine every day, missed a train this morning."" Anthony replied, ""Wait no,","she did not.""",neg_main_bad
